Measurement taken on,Hydrometer distance
2020-10-12T07:17:27+00:00,7.01
2020-10-12T07:17:50+00:00,7.1
2020-10-12T07:19:00+00:00,6.93
2020-10-12T07:19:46+00:00,6.87
2020-10-12T07:26:40+00:00,6.92
2020-10-12T07:30:37+00:00,7.1
2020-10-12T07:34:05+00:00,6.97
2020-10-12T07:35:49+00:00,7.11
2020-10-12T07:36:34+00:00,7.24
2020-10-12T07:36:56+00:00,7.19
2020-10-12T07:38:28+00:00,7.03
2020-10-12T07:39:36+00:00,7.12
2020-10-12T07:43:41+00:00,7.32
2020-10-12T07:48:02+00:00,6.9
2020-10-12T07:50:08+00:00,6.93
2020-10-12T07:50:54+00:00,6.9
2020-10-12T07:51:40+00:00,7.19
2020-10-12T07:52:25+00:00,7.19
2020-10-12T07:52:47+00:00,7.23
2020-10-12T07:55:52+00:00,6.98
2020-10-12T07:57:25+00:00,6.97
2020-10-12T07:57:47+00:00,7.15
2020-10-12T07:58:57+00:00,7.02
2020-10-12T08:04:03+00:00,7.23
2020-10-12T08:04:50+00:00,6.69
2020-10-12T08:06:00+00:00,6.73
2020-10-12T08:06:22+00:00,7.15
2020-10-12T08:10:07+00:00,7.24
2020-10-12T08:12:02+00:00,7.19
2020-10-12T08:13:58+00:00,6.8
2020-10-12T08:15:07+00:00,7.25
2020-10-12T08:15:55+00:00,6.71
2020-10-12T08:17:06+00:00,6.64
2020-10-12T08:19:48+00:00,6.84
2020-10-12T08:21:46+00:00,6.89
2020-10-12T08:22:09+00:00,6.99
2020-10-12T08:22:55+00:00,7.11
2020-10-12T08:29:49+00:00,7.06
2020-10-12T08:36:41+00:00,7.06
2020-10-12T08:39:26+00:00,6.73
2020-10-12T08:40:38+00:00,7.07
2020-10-12T08:40:59+00:00,6.55
2020-10-12T08:42:33+00:00,7.02
2020-10-12T08:43:20+00:00,7.06
2020-10-12T08:50:07+00:00,6.94
2020-10-12T08:50:53+00:00,7.02
2020-10-12T08:51:40+00:00,6.89
2020-10-12T08:57:08+00:00,6.97
2020-10-12T08:59:06+00:00,6.96
2020-10-12T08:59:28+00:00,6.96
